Stage,Team 1,FT,Team 2
A,Tiburones Rojos Veracruz,0-2,Pumas UNAM
A,Club Atlas,0-0,Querétaro FC
A,Cruz Azul,3-0,Club Puebla
A,CF Pachuca,0-1,CF Monterrey
A,Club Tijuana,02-Jan,CD Guadalajara Chivas
A,Tigres UANL,2-0,Club León
A,Club Necaxa,02-Jan,Club América
A,Santos Laguna,02-Jan,Lobos BUAP
A,Deportivo Toluca FC,2-0,Monarcas Morelia
A,Monarcas Morelia,03-Jan,Santos Laguna
A,Club Puebla,02-Jan,Deportivo Toluca FC
A,CD Guadalajara Chivas,0-1,Cruz Azul
A,Club América,3-0,Club Atlas
A,Querétaro FC,1-0,CF Pachuca
A,Pumas UNAM,05-Mar,Club Necaxa
A,Lobos BUAP,2-0,Tiburones Rojos Veracruz
A,Club León,0-2,CF Monterrey
A,Tigres UANL,1-0,Club Tijuana
A,Club Atlas,0-3,Pumas UNAM
A,Tiburones Rojos Veracruz,02-Feb,Monarcas Morelia
A,Club Necaxa,1-0,Lobos BUAP
A,CF Pachuca,01-Mar,Club América
A,CF Monterrey,02-Jan,Querétaro FC
A,Cruz Azul,1-0,Tigres UANL
A,Deportivo Toluca FC,02-Feb,CD Guadalajara Chivas
A,Santos Laguna,2-0,Club Puebla
A,Club Tijuana,01-Jan,Club León
A,Club Puebla,01-Feb,Tiburones Rojos Veracruz
A,Monarcas Morelia,02-Jan,Club Necaxa
A,Club América,3-0,CF Monterrey
A,Club León,4-0,Querétaro FC
A,Tigres UANL,01-Feb,Deportivo Toluca FC
A,Lobos BUAP,0-0,Club Atlas
A,Pumas UNAM,0-0,CF Pachuca
A,Club Tijuana,01-Jan,Cruz Azul
A,CD Guadalajara Chivas,01-Feb,Santos Laguna
A,Tiburones Rojos Veracruz,0-2,CD Guadalajara Chivas
A,Club Atlas,0-1,Monarcas Morelia
A,CF Pachuca,3-0,Lobos BUAP
A,Cruz Azul,3-0,Club León
A,CF Monterrey,1-0,Pumas UNAM
A,Querétaro FC,01-Jan,Club América
A,Club Necaxa,02-Feb,Club Puebla
A,Santos Laguna,03-Jan,Tigres UANL
A,Deportivo Toluca FC,3-0,Club Tijuana
A,Monarcas Morelia,01-Jan,CF Pachuca
A,Pumas UNAM,0-1,Querétaro FC
A,Club Puebla,2-0,Club Atlas
A,CD Guadalajara Chivas,1-0,Club Necaxa
A,Cruz Azul,1-0,Deportivo Toluca FC
A,Club León,2-0,Club América
A,Tigres UANL,4-0,Tiburones Rojos Veracruz
A,Club Tijuana,02-Feb,Santos Laguna
A,Lobos BUAP,01-Feb,CF Monterrey
A,Club Atlas,0-1,CD Guadalajara Chivas
A,Club América,02-Feb,Pumas UNAM
A,CF Monterrey,02-Feb,Monarcas Morelia
A,Tiburones Rojos Veracruz,1-0,Club Tijuana
A,Club Necaxa,01-Jan,Tigres UANL
A,CF Pachuca,2-0,Club Puebla
A,Querétaro FC,2-0,Lobos BUAP
A,Deportivo Toluca FC,01-Feb,Club León
A,Santos Laguna,01-Jan,Cruz Azul
A,Monarcas Morelia,01-Apr,Querétaro FC
A,Club Puebla,02-Jan,CF Monterrey
A,Club Tijuana,1-0,Club Necaxa
A,Cruz Azul,04-Jan,Tiburones Rojos Veracruz
A,Club León,01-Feb,Pumas UNAM
A,CD Guadalajara Chivas,01-Mar,CF Pachuca
A,Tigres UANL,03-Jan,Club Atlas
A,Deportivo Toluca FC,02-Jan,Santos Laguna
A,Lobos BUAP,0-2,Club América
A,Tiburones Rojos Veracruz,02-Mar,Deportivo Toluca FC
A,CF Pachuca,01-Jan,Tigres UANL
A,Querétaro FC,0-1,Club Puebla
A,Club América,02-Jan,Monarcas Morelia
A,CF Monterrey,02-Apr,CD Guadalajara Chivas
A,Club Necaxa,2-0,Cruz Azul
A,Pumas UNAM,04-Feb,Lobos BUAP
A,Santos Laguna,3-0,Club León
A,Club Atlas,0-1,Club Tijuana
A,Monarcas Morelia,0-0,Pumas UNAM
A,Club Puebla,02-Mar,Club América
A,Deportivo Toluca FC,03-Feb,Club Necaxa
A,Club Tijuana,1-0,CF Pachuca
A,Cruz Azul,2-0,Club Atlas
A,Club León,0-1,Lobos BUAP
A,CD Guadalajara Chivas,01-Jan,Querétaro FC
A,Santos Laguna,01-Jan,Tiburones Rojos Veracruz
A,Tigres UANL,0-0,CF Monterrey
A,Tiburones Rojos Veracruz,0-4,Club León
A,Club Atlas,2-0,Deportivo Toluca FC
A,CF Monterrey,3-0,Club Tijuana
A,CF Pachuca,03-Jan,Cruz Azul
A,Club Necaxa,0-1,Santos Laguna
A,Querétaro FC,0-2,Tigres UANL
A,Pumas UNAM,02-Feb,Club Puebla
A,Club América,01-Jan,CD Guadalajara Chivas
A,Lobos BUAP,03-Jan,Monarcas Morelia
A,Santos Laguna,03-Jan,Club Atlas
A,Tiburones Rojos Veracruz,0-0,Club Necaxa
A,Club León,01-Feb,Monarcas Morelia
A,Cruz Azul,02-Jan,CF Monterrey
A,Club Tijuana,01-Jan,Querétaro FC
A,CD Guadalajara Chivas,01-Feb,Pumas UNAM
A,Tigres UANL,02-Mar,Club América
A,Deportivo Toluca FC,02-Jan,CF Pachuca
A,Club Puebla,02-Feb,Lobos BUAP
A,Club Atlas,04-Mar,Tiburones Rojos Veracruz
A,Querétaro FC,2-0,Cruz Azul
A,CF Pachuca,01-Jan,Santos Laguna
A,Club América,3-0,Club Tijuana
A,Club Necaxa,0-2,Club León
A,CF Monterrey,02-Jan,Deportivo Toluca FC
A,Lobos BUAP,01-Jan,CD Guadalajara Chivas
A,Pumas UNAM,03-Mar,Tigres UANL
A,Monarcas Morelia,2-0,Club Puebla
A,Tiburones Rojos Veracruz,02-Mar,CF Pachuca
A,Santos Laguna,1-0,CF Monterrey
A,Club Necaxa,02-Feb,Club Atlas
A,Tigres UANL,02-Feb,Lobos BUAP
A,CD Guadalajara Chivas,01-Feb,Monarcas Morelia
A,Cruz Azul,0-0,Club América
A,Club Tijuana,0-1,Pumas UNAM
A,Deportivo Toluca FC,4-0,Querétaro FC
A,Club León,0-4,Club Puebla
A,Monarcas Morelia,0-2,Tigres UANL
A,Club Puebla,02-Feb,CD Guadalajara Chivas
A,CF Pachuca,06-Feb,Club Necaxa
A,Club América,01-Jan,Deportivo Toluca FC
A,CF Monterrey,2-0,Tiburones Rojos Veracruz
A,Lobos BUAP,03-Jan,Club Tijuana
A,Pumas UNAM,01-Feb,Cruz Azul
A,Querétaro FC,02-Jan,Santos Laguna
A,Club Atlas,0-0,Club León
A,Tiburones Rojos Veracruz,02-Feb,Querétaro FC
A,Club Atlas,0-0,CF Pachuca
A,Club León,0-1,CD Guadalajara Chivas
A,Cruz Azul,02-Jan,Lobos BUAP
A,Club Tijuana,02-Mar,Monarcas Morelia
A,Club Necaxa,01-Jan,CF Monterrey
A,Tigres UANL,06-Jan,Club Puebla
A,Deportivo Toluca FC,0-1,Pumas UNAM
A,Santos Laguna,01-Jan,Club América
A,Monarcas Morelia,0-2,Cruz Azul
A,Club Puebla,0-0,Club Tijuana
A,Querétaro FC,1-0,Club Necaxa
A,CF Pachuca,01-Jan,Club León
A,CF Monterrey,03-Jan,Club Atlas
A,CD Guadalajara Chivas,0-1,Tigres UANL
A,Club América,04-Jan,Tiburones Rojos Veracruz
A,Pumas UNAM,01-Jan,Santos Laguna
A,Lobos BUAP,2-0,Deportivo Toluca FC
B,CF Monterrey,1-0,Santos Laguna
B,Querétaro FC,0-2,Cruz Azul
B,Tigres UANL,02-Jan,Pumas UNAM
B,Deportivo Toluca FC,02-Feb,Club América
B,Cruz Azul,01-Jan,Querétaro FC
B,Santos Laguna,0-2,CF Monterrey
B,Club América,03-Feb,Deportivo Toluca FC
B,Pumas UNAM,03-Jan,Tigres UANL
B,CF Monterrey,1-0,Cruz Azul
B,Pumas UNAM,01-Jan,Club América
B,Cruz Azul,1-0,CF Monterrey
B,Club América,06-Jan,Pumas UNAM
B,Club América,0-0,Cruz Azul
B,Cruz Azul,0-2,Club América
B,Club Puebla,01-Jan,Cruz Azul
B,Monarcas Morelia,01-Mar,Deportivo Toluca FC
B,Querétaro FC,01-Feb,Club Atlas
B,CF Monterrey,5-0,CF Pachuca
B,CD Guadalajara Chivas,2-0,Club Tijuana
B,Club León,02-Feb,Tigres UANL
B,Lobos BUAP,2-0,Santos Laguna
B,Pumas UNAM,0-0,Tiburones Rojos Veracruz
B,Club Atlas,01-Feb,Club América
B,Tiburones Rojos Veracruz,0-1,Lobos BUAP
B,Club Tijuana,0-3,Tigres UANL
B,Club Necaxa,02-Jan,Pumas UNAM
B,Cruz Azul,0-1,CD Guadalajara Chivas
B,CF Pachuca,3-0,Querétaro FC
B,CF Monterrey,02-Feb,Club León
B,Santos Laguna,1-0,Monarcas Morelia
B,Deportivo Toluca FC,2-0,Club Puebla
B,Monarcas Morelia,2-0,Tiburones Rojos Veracruz
B,Club Puebla,01-Jan,Santos Laguna
B,Club América,3-0,CF Pachuca
B,Querétaro FC,01-Feb,CF Monterrey
B,Tigres UANL,0-1,Cruz Azul
B,Club León,0-1,Club Tijuana
B,Pumas UNAM,02-Feb,Club Atlas
B,Lobos BUAP,02-Mar,Club Necaxa
B,CD Guadalajara Chivas,1-0,Deportivo Toluca FC
B,Club Atlas,03-Jan,Lobos BUAP
B,Tiburones Rojos Veracruz,0-1,Club Puebla
B,Club Necaxa,0-0,Monarcas Morelia
B,Cruz Azul,1-0,Club Tijuana
B,CF Monterrey,03-Feb,Club América
B,CF Pachuca,1-0,Pumas UNAM
B,Querétaro FC,0-4,Club León
B,Deportivo Toluca FC,0-1,Tigres UANL
B,Santos Laguna,1-0,CD Guadalajara Chivas
B,Monarcas Morelia,01-Feb,Club Atlas
B,Club Puebla,01-Apr,Club Necaxa
B,Club Tijuana,2-0,Deportivo Toluca FC
B,Club América,2-0,Querétaro FC
B,Club León,2-0,Cruz Azul
B,Tigres UANL,02-Jan,Santos Laguna
B,Lobos BUAP,01-Jan,CF Pachuca
B,Pumas UNAM,01-Jan,CF Monterrey
B,CD Guadalajara Chivas,0-0,Tiburones Rojos Veracruz
B,Tiburones Rojos Veracruz,0-2,Tigres UANL
B,Club Atlas,01-Feb,Club Puebla
B,CF Monterrey,4-0,Lobos BUAP
B,Querétaro FC,0-2,Pumas UNAM
B,Club Necaxa,03-Mar,CD Guadalajara Chivas
B,Club América,0-3,Club León
B,CF Pachuca,2-0,Monarcas Morelia
B,Deportivo Toluca FC,01-Jan,Cruz Azul
B,Santos Laguna,01-Jan,Club Tijuana
B,Monarcas Morelia,02-Mar,CF Monterrey
B,Club Puebla,01-Jan,CF Pachuca
B,Club Tijuana,3-0,Tiburones Rojos Veracruz
B,Cruz Azul,01-Feb,Santos Laguna
B,CD Guadalajara Chivas,3-0,Club Atlas
B,Club León,3-0,Deportivo Toluca FC
B,Tigres UANL,03-Feb,Club Necaxa
B,Lobos BUAP,03-Jan,Querétaro FC
B,Pumas UNAM,1-0,Club América
B,Club Atlas,0-1,Tigres UANL
B,Tiburones Rojos Veracruz,01-Jan,Cruz Azul
B,Querétaro FC,3-0,Monarcas Morelia
B,Club Necaxa,01-Feb,Club Tijuana
B,Club América,3-0,Lobos BUAP
B,CF Monterrey,0-0,Club Puebla
B,CF Pachuca,03-Jan,CD Guadalajara Chivas
B,Santos Laguna,4-0,Deportivo Toluca FC
B,Pumas UNAM,01-Mar,Club León
B,Monarcas Morelia,02-Feb,Club América
B,Club Tijuana,03-Jan,Club Atlas
B,Cruz Azul,02-Jan,Club Necaxa
B,CD Guadalajara Chivas,0-2,CF Monterrey
B,Tigres UANL,3-0,CF Pachuca
B,Club León,3-0,Santos Laguna
B,Deportivo Toluca FC,03-Jan,Tiburones Rojos Veracruz
B,Lobos BUAP,02-Jan,Pumas UNAM
B,Club Puebla,1-0,Querétaro FC
B,Club América,01-Mar,Club Necaxa
B,Tiburones Rojos Veracruz,02-Feb,Santos Laguna
B,Club Atlas,0-2,Cruz Azul
B,Querétaro FC,0-0,CD Guadalajara Chivas
B,CF Pachuca,4-0,Club Tijuana
B,CF Monterrey,01-Jan,Tigres UANL
B,Club Necaxa,01-Jan,Deportivo Toluca FC
B,Club América,1-0,Club Puebla
B,Pumas UNAM,02-Feb,Monarcas Morelia
B,Lobos BUAP,0-1,Club León
B,Monarcas Morelia,01-Jan,Lobos BUAP
B,Club Puebla,1-0,Pumas UNAM
B,Cruz Azul,04-Jan,CF Pachuca
B,Club Tijuana,1-0,CF Monterrey
B,Tigres UANL,04-Jan,Querétaro FC
B,CD Guadalajara Chivas,0-2,Club América
B,Deportivo Toluca FC,2-0,Club Atlas
B,Club León,2-0,Tiburones Rojos Veracruz
B,Santos Laguna,01-Feb,Club Necaxa
B,Monarcas Morelia,02-Mar,Club León
B,Club Atlas,1-0,Santos Laguna
B,Club América,3-0,Tigres UANL
B,Querétaro FC,1-0,Club Tijuana
B,Club Necaxa,2-0,Tiburones Rojos Veracruz
B,CF Monterrey,02-Feb,Cruz Azul
B,CF Pachuca,03-Feb,Deportivo Toluca FC
B,Pumas UNAM,02-Jan,CD Guadalajara Chivas
B,Lobos BUAP,0-4,Club Puebla
B,Tiburones Rojos Veracruz,0-1,Club Atlas
B,Club Puebla,01-Jan,Monarcas Morelia
B,Club León,02-Jan,Club Necaxa
B,Cruz Azul,3-0,Querétaro FC
B,Tigres UANL,2-0,Pumas UNAM
B,Club Tijuana,03-Feb,Club América
B,CD Guadalajara Chivas,0-1,Lobos BUAP
B,Deportivo Toluca FC,05-Jan,CF Monterrey
B,Santos Laguna,0-0,CF Pachuca
B,Club Atlas,01-Feb,Club Necaxa
B,Club Puebla,0-3,Club León
B,Querétaro FC,0-0,Deportivo Toluca FC
B,CF Pachuca,09-Feb,Tiburones Rojos Veracruz
B,Monarcas Morelia,1-0,CD Guadalajara Chivas
B,Pumas UNAM,1-0,Club Tijuana
B,CF Monterrey,4-0,Santos Laguna
B,Club América,0-0,Cruz Azul
B,Lobos BUAP,0-3,Tigres UANL
B,Tiburones Rojos Veracruz,0-1,CF Monterrey
B,Club Tijuana,01-Feb,Lobos BUAP
B,Club Necaxa,02-Feb,CF Pachuca
B,Club León,05-Feb,Club Atlas
B,Cruz Azul,02-Jan,Pumas UNAM
B,CD Guadalajara Chivas,01-Mar,Club Puebla
B,Tigres UANL,03-Mar,Monarcas Morelia
B,Deportivo Toluca FC,03-Feb,Club América
B,Santos Laguna,02-Jan,Querétaro FC
B,Club Puebla,01-Jan,Tigres UANL
B,Monarcas Morelia,01-Apr,Club Tijuana
B,CF Pachuca,1-0,Club Atlas
B,CD Guadalajara Chivas,02-Jan,Club León
B,CF Monterrey,02-Feb,Club Necaxa
B,Club América,1-0,Santos Laguna
B,Pumas UNAM,02-Feb,Deportivo Toluca FC
B,Lobos BUAP,01-Apr,Cruz Azul
B,Querétaro FC,02-Jan,Tiburones Rojos Veracruz
B,Tiburones Rojos Veracruz,0-2,Club América
B,Cruz Azul,01-Jan,Monarcas Morelia
B,Club León,02-Jan,CF Pachuca
B,Club Tijuana,4-0,Club Puebla
B,Club Necaxa,1-0,Querétaro FC
B,Tigres UANL,02-Jan,CD Guadalajara Chivas
B,Deportivo Toluca FC,4-0,Lobos BUAP
B,Club Atlas,2-0,CF Monterrey
B,Santos Laguna,05-Feb,Pumas UNAM
B,CF Pachuca,01-Jan,Tigres UANL
B,Club Tijuana,01-Mar,Club León
B,Club Necaxa,1-0,CF Monterrey
B,Club América,03-Jan,Cruz Azul
B,Tigres UANL,01-Jan,CF Pachuca
B,Club León,02-Jan,Club Tijuana
B,Cruz Azul,1-0,Club América
B,CF Monterrey,1-0,Club Necaxa
B,CF Monterrey,1-0,Tigres UANL
B,Club América,0-1,Club León
B,Tigres UANL,1-0,CF Monterrey
B,Club León,0-1,Club América
B,Tigres UANL,1-0,Club León
B,Club León,0-0,Tigres UANL
A,Club Puebla,01-Mar,Club Tijuana
A,Club Atlas,1-0,FC Juárez
A,CF Pachuca,01-Mar,Club León
A,Atlético San Luis,0-2,Pumas UNAM
A,Club América,04-Feb,CF Monterrey
A,Tigres UANL,04-Feb,Monarcas Morelia
A,Club Necaxa,0-0,Cruz Azul
A,Deportivo Toluca FC,0-2,Querétaro FC
A,Santos Laguna,3-0,CD Guadalajara Chivas
A,Monarcas Morelia,0-1,Club Atlas
A,Tiburones Rojos Veracruz,03-Mar,CF Pachuca
A,Club León,0-0,Club América
A,Club Tijuana,01-Jan,Querétaro FC
A,Cruz Azul,01-Jan,Deportivo Toluca FC
A,Pumas UNAM,2-0,Club Necaxa
A,Atlético San Luis,1-0,CF Monterrey
A,CD Guadalajara Chivas,2-0,Tigres UANL
A,Santos Laguna,3-0,FC Juárez
A,Club Puebla,01-Jan,CD Guadalajara Chivas
A,Club Atlas,01-Feb,Santos Laguna
A,Querétaro FC,3-0,Cruz Azul
A,Club América,03-Jan,Club Tijuana
A,CF Monterrey,03-Feb,Club León
A,Club Necaxa,7-0,Tiburones Rojos Veracruz
A,CF Pachuca,01-Feb,Monarcas Morelia
A,Pumas UNAM,0-1,Tigres UANL
A,FC Juárez,2-0,Deportivo Toluca FC
A,Monarcas Morelia,0-1,CF Monterrey
A,Tiburones Rojos Veracruz,01-Feb,Club Atlas
A,Club Tijuana,1-0,Pumas UNAM
A,CD Guadalajara Chivas,3-0,Atlético San Luis
A,Cruz Azul,2-0,FC Juárez
A,Tigres UANL,03-Jan,Club Necaxa
A,Querétaro FC,02-Jan,CF Pachuca
A,Santos Laguna,04-Jan,Club Puebla
A,Deportivo Toluca FC,0-1,Club América
A,Club Puebla,0-4,CF Pachuca
A,Club Atlas,01-Mar,Cruz Azul
A,Atlético San Luis,01-Jan,Tigres UANL
A,Club León,04-Mar,CD Guadalajara Chivas
A,CF Monterrey,2-0,Deportivo Toluca FC
A,Club América,1-0,Monarcas Morelia
A,Pumas UNAM,2-0,Tiburones Rojos Veracruz
A,FC Juárez,0-2,Querétaro FC
A,Club Necaxa,3-0,Santos Laguna
A,Tiburones Rojos Veracruz,01-Feb,Atlético San Luis
A,Monarcas Morelia,2-0,Pumas UNAM
A,Santos Laguna,02-Jan,CF Monterrey
A,Querétaro FC,0-4,Club León
A,CF Pachuca,03-Jan,Club Atlas
A,Cruz Azul,01-Jan,Club Puebla
A,Tigres UANL,01-Jan,Club América
A,Deportivo Toluca FC,2-0,Club Tijuana
A,CD Guadalajara Chivas,01-Feb,Club Necaxa
A,Tiburones Rojos Veracruz,0-5,Querétaro FC
A,Atlético San Luis,01-Jan,Monarcas Morelia
A,Club América,01-Jan,CF Pachuca
A,Club Atlas,01-Jan,Tigres UANL
A,Club León,02-Feb,Santos Laguna
A,Club Necaxa,01-Jan,Deportivo Toluca FC
A,Club Tijuana,03-Feb,Cruz Azul
A,CF Monterrey,2-0,Pumas UNAM
A,Club Puebla,02-Jan,FC Juárez
A,Club Atlas,3-0,Club América
A,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
A,Club Necaxa,03-Feb,Club Tijuana
A,Cruz Azul,01-Jan,CD Guadalajara Chivas
A,CF Pachuca,0-2,Atlético San Luis
A,Tigres UANL,01-Jan,Club León
A,Pumas UNAM,02-Jan,Deportivo Toluca FC
A,Querétaro FC,01-Jan,Club Puebla
A,FC Juárez,1-0,CF Monterrey
A,Club Puebla,01-Mar,Atlético San Luis
A,Club Tijuana,01-Jan,Tigres UANL
A,Tiburones Rojos Veracruz,0-0,Cruz Azul
A,CF Monterrey,0-2,Club Necaxa
A,Club León,03-Jan,FC Juárez
