Stage,Round,Date,Team 1,FT,Team 2
Clausura,12,Sat Mar 30 2019,CF Pachuca,03-Feb,Deportivo Toluca FC
Clausura,12,Sun Mar 31 2019,Pumas UNAM,02-Jan,CD Guadalajara Chivas
Clausura,12,Sun Mar 31 2019,Lobos BUAP,0-4,Club Puebla
Clausura,13,Fri Apr 5 2019,Tiburones Rojos Veracruz,0-1,Club Atlas
Clausura,13,Fri Apr 5 2019,Club Puebla,01-Jan,Monarcas Morelia
Clausura,13,Sat Apr 6 2019,Club León,02-Jan,Club Necaxa
Clausura,13,Sat Apr 6 2019,Cruz Azul,3-0,Querétaro FC
Clausura,13,Sat Apr 6 2019,Tigres UANL,2-0,Pumas UNAM
Clausura,13,Sat Apr 6 2019,Club Tijuana,03-Feb,Club América
Clausura,13,Sat Apr 6 2019,CD Guadalajara Chivas,0-1,Lobos BUAP
Clausura,13,Sun Apr 7 2019,Deportivo Toluca FC,05-Jan,CF Monterrey
Clausura,13,Sun Apr 7 2019,Santos Laguna,0-0,CF Pachuca
Clausura,14,Fri Apr 12 2019,Club Atlas,01-Feb,Club Necaxa
Clausura,14,Fri Apr 12 2019,Club Puebla,0-3,Club León
Clausura,14,Sat Apr 13 2019,Querétaro FC,0-0,Deportivo Toluca FC
Clausura,14,Sat Apr 13 2019,CF Pachuca,09-Feb,Tiburones Rojos Veracruz
Clausura,14,Sat Apr 13 2019,Monarcas Morelia,1-0,CD Guadalajara Chivas
Clausura,14,Sun Apr 14 2019,Pumas UNAM,1-0,Club Tijuana
Clausura,14,Sun Apr 14 2019,CF Monterrey,4-0,Santos Laguna
Clausura,14,Sun Apr 14 2019,Club América,0-0,Cruz Azul
Clausura,14,Sun Apr 14 2019,Lobos BUAP,0-3,Tigres UANL
Clausura,15,Fri Apr 19 2019,Tiburones Rojos Veracruz,0-1,CF Monterrey
Clausura,15,Fri Apr 19 2019,Club Tijuana,01-Feb,Lobos BUAP
Clausura,15,Sat Apr 20 2019,Club Necaxa,02-Feb,CF Pachuca
Clausura,15,Sat Apr 20 2019,Club León,05-Feb,Club Atlas
Clausura,15,Sat Apr 20 2019,Cruz Azul,02-Jan,Pumas UNAM
Clausura,15,Sat Apr 20 2019,CD Guadalajara Chivas,01-Mar,Club Puebla
Clausura,15,Sat Apr 20 2019,Tigres UANL,03-Mar,Monarcas Morelia
Clausura,15,Sun Apr 21 2019,Deportivo Toluca FC,03-Feb,Club América
Clausura,15,Sun Apr 21 2019,Santos Laguna,02-Jan,Querétaro FC
Clausura,16,Fri Apr 26 2019,Club Puebla,01-Jan,Tigres UANL
Clausura,16,Fri Apr 26 2019,Monarcas Morelia,01-Apr,Club Tijuana
Clausura,16,Sat Apr 27 2019,CF Pachuca,1-0,Club Atlas
Clausura,16,Sat Apr 27 2019,CD Guadalajara Chivas,02-Jan,Club León
Clausura,16,Sat Apr 27 2019,CF Monterrey,02-Feb,Club Necaxa
Clausura,16,Sat Apr 27 2019,Club América,1-0,Santos Laguna
Clausura,16,Sun Apr 28 2019,Pumas UNAM,02-Feb,Deportivo Toluca FC
Clausura,16,Sun Apr 28 2019,Lobos BUAP,01-Apr,Cruz Azul
Clausura,16,Sun Apr 28 2019,Querétaro FC,02-Jan,Tiburones Rojos Veracruz
Clausura,17,Fri May 3 2019,Tiburones Rojos Veracruz,0-2,Club América
Clausura,17,Sat May 4 2019,Cruz Azul,01-Jan,Monarcas Morelia
Clausura,17,Sat May 4 2019,Club León,02-Jan,CF Pachuca
Clausura,17,Sat May 4 2019,Club Tijuana,4-0,Club Puebla
Clausura,17,Sat May 4 2019,Club Necaxa,1-0,Querétaro FC
Clausura,17,Sat May 4 2019,Tigres UANL,02-Jan,CD Guadalajara Chivas
Clausura,17,Sun May 5 2019,Deportivo Toluca FC,4-0,Lobos BUAP
Clausura,17,Sun May 5 2019,Club Atlas,2-0,CF Monterrey
Clausura,17,Sun May 5 2019,Santos Laguna,05-Feb,Pumas UNAM
Clausura - Liguilla,Cuartos de Final,Wed May 8 2019,CF Pachuca,01-Jan,Tigres UANL
Clausura - Liguilla,Cuartos de Final,Wed May 8 2019,Club Tijuana,01-Mar,Club León
Clausura - Liguilla,Cuartos de Final,Thu May 9 2019,Club Necaxa,1-0,CF Monterrey
Clausura - Liguilla,Cuartos de Final,Thu May 9 2019,Club América,03-Jan,Cruz Azul
Clausura - Liguilla,Cuartos de Final,Sat May 11 2019,Tigres UANL,01-Jan,CF Pachuca
Clausura - Liguilla,Cuartos de Final,Sat May 11 2019,Club León,02-Jan,Club Tijuana
Clausura - Liguilla,Cuartos de Final,Sun May 12 2019,Cruz Azul,1-0,Club América
Clausura - Liguilla,Cuartos de Final,Sun May 12 2019,CF Monterrey,1-0,Club Necaxa
Clausura - Liguilla,Semifinales,Wed May 15 2019,CF Monterrey,1-0,Tigres UANL
Clausura - Liguilla,Semifinales,Thu May 16 2019,Club América,0-1,Club León
Clausura - Liguilla,Semifinales,Sat May 18 2019,Tigres UANL,1-0,CF Monterrey
Clausura - Liguilla,Semifinales,Sun May 19 2019,Club León,0-1,Club América
Clausura - Liguilla,Final,Thu May 23 2019,Tigres UANL,1-0,Club León
Clausura - Liguilla,Final,Sun May 26 2019,Club León,0-0,Tigres UANL
Apertura,1,Fri Jul 19 2019,Club Puebla,01-Mar,Club Tijuana
Apertura,1,Fri Jul 19 2019,Club Atlas,1-0,FC Juárez
Apertura,1,Sat Jul 20 2019,CF Pachuca,01-Mar,Club León
Apertura,1,Sat Jul 20 2019,Atlético San Luis,0-2,Pumas UNAM
Apertura,1,Sat Jul 20 2019,Club América,04-Feb,CF Monterrey
Apertura,1,Sat Jul 20 2019,Tigres UANL,04-Feb,Monarcas Morelia
Apertura,1,Sat Jul 20 2019,Club Necaxa,0-0,Cruz Azul
Apertura,1,Sun Jul 21 2019,Deportivo Toluca FC,0-2,Querétaro FC
Apertura,1,Sun Jul 21 2019,Santos Laguna,3-0,CD Guadalajara Chivas
Apertura,2,Fri Jul 26 2019,Monarcas Morelia,0-1,Club Atlas
Apertura,2,Fri Jul 26 2019,Tiburones Rojos Veracruz,03-Mar,CF Pachuca
Apertura,2,Sat Jul 27 2019,Club León,0-0,Club América
Apertura,2,Sat Jul 27 2019,Club Tijuana,01-Jan,Querétaro FC
Apertura,2,Sat Jul 27 2019,Cruz Azul,01-Jan,Deportivo Toluca FC
Apertura,2,Sun Jul 28 2019,Pumas UNAM,2-0,Club Necaxa
Apertura,2,Sun Jul 28 2019,Atlético San Luis,1-0,CF Monterrey
Apertura,2,Sun Jul 28 2019,CD Guadalajara Chivas,2-0,Tigres UANL
Apertura,2,Sun Jul 28 2019,Santos Laguna,3-0,FC Juárez
Apertura,3,Fri Aug 2 2019,Club Puebla,01-Jan,CD Guadalajara Chivas
Apertura,3,Fri Aug 2 2019,Club Atlas,01-Feb,Santos Laguna
Apertura,3,Sat Aug 3 2019,Querétaro FC,3-0,Cruz Azul
Apertura,3,Sat Aug 3 2019,Club América,03-Jan,Club Tijuana
Apertura,3,Sat Aug 3 2019,CF Monterrey,03-Feb,Club León
Apertura,3,Sat Aug 3 2019,Club Necaxa,7-0,Tiburones Rojos Veracruz
Apertura,3,Sat Aug 3 2019,CF Pachuca,01-Feb,Monarcas Morelia
Apertura,3,Sun Aug 4 2019,Pumas UNAM,0-1,Tigres UANL
Apertura,3,Sun Aug 4 2019,FC Juárez,2-0,Deportivo Toluca FC
Apertura,4,Fri Aug 9 2019,Monarcas Morelia,0-1,CF Monterrey
Apertura,4,Fri Aug 9 2019,Tiburones Rojos Veracruz,01-Feb,Club Atlas
Apertura,4,Fri Aug 9 2019,Club Tijuana,1-0,Pumas UNAM
Apertura,4,Sat Aug 10 2019,CD Guadalajara Chivas,3-0,Atlético San Luis
Apertura,4,Sat Aug 10 2019,Cruz Azul,2-0,FC Juárez
Apertura,4,Sat Aug 10 2019,Tigres UANL,03-Jan,Club Necaxa
Apertura,4,Sat Aug 10 2019,Querétaro FC,02-Jan,CF Pachuca
Apertura,4,Sun Aug 11 2019,Santos Laguna,04-Jan,Club Puebla
Apertura,4,Sun Aug 11 2019,Deportivo Toluca FC,0-1,Club América
Apertura,5,Fri Aug 16 2019,Club Puebla,0-4,CF Pachuca
Apertura,5,Fri Aug 16 2019,Club Atlas,01-Mar,Cruz Azul
Apertura,5,Sat Aug 17 2019,Atlético San Luis,01-Jan,Tigres UANL
Apertura,5,Sat Aug 17 2019,Club León,04-Mar,CD Guadalajara Chivas
Apertura,5,Sat Aug 17 2019,CF Monterrey,2-0,Deportivo Toluca FC
Apertura,5,Sat Aug 17 2019,Club América,1-0,Monarcas Morelia
Apertura,5,Sun Aug 18 2019,Pumas UNAM,2-0,Tiburones Rojos Veracruz
Apertura,5,Sun Aug 18 2019,FC Juárez,0-2,Querétaro FC
Apertura,5,Sun Aug 18 2019,Club Necaxa,3-0,Santos Laguna
Apertura,6,Fri Aug 23 2019,Tiburones Rojos Veracruz,01-Feb,Atlético San Luis
Apertura,6,Fri Aug 23 2019,Monarcas Morelia,2-0,Pumas UNAM
Apertura,6,Fri Aug 23 2019,Santos Laguna,02-Jan,CF Monterrey
Apertura,6,Sat Aug 24 2019,Querétaro FC,0-4,Club León
Apertura,6,Sat Aug 24 2019,CF Pachuca,03-Jan,Club Atlas
Apertura,6,Sat Aug 24 2019,Cruz Azul,01-Jan,Club Puebla
Apertura,6,Sat Aug 24 2019,Tigres UANL,01-Jan,Club América
Apertura,6,Sun Aug 25 2019,Deportivo Toluca FC,2-0,Club Tijuana
Apertura,6,Sun Aug 25 2019,CD Guadalajara Chivas,01-Feb,Club Necaxa
Apertura,7,Tue Aug 27 2019,Tiburones Rojos Veracruz,0-5,Querétaro FC
Apertura,7,Tue Aug 27 2019,Atlético San Luis,01-Jan,Monarcas Morelia
Apertura,7,Tue Aug 27 2019,Club América,01-Jan,CF Pachuca
Apertura,7,Tue Aug 27 2019,Club Atlas,01-Jan,Tigres UANL
Apertura,7,Wed Aug 28 2019,Club León,02-Feb,Santos Laguna
Apertura,7,Wed Aug 28 2019,Club Necaxa,01-Jan,Deportivo Toluca FC
Apertura,7,Wed Aug 28 2019,Club Tijuana,03-Feb,Cruz Azul
Apertura,7,Thu Aug 29 2019,CF Monterrey,2-0,Pumas UNAM
Apertura,7,Thu Aug 29 2019,Club Puebla,02-Jan,FC Juárez
Apertura,8,Fri Aug 30 2019,Club Atlas,3-0,Club América
Apertura,8,Fri Aug 30 2019,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
Apertura,8,Sat Aug 31 2019,Club Necaxa,03-Feb,Club Tijuana
Apertura,8,Sat Aug 31 2019,Cruz Azul,01-Jan,CD Guadalajara Chivas
Apertura,8,Sat Aug 31 2019,CF Pachuca,0-2,Atlético San Luis
Apertura,8,Sat Aug 31 2019,Tigres UANL,01-Jan,Club León
Apertura,8,Sun Sep 1 2019,Pumas UNAM,02-Jan,Deportivo Toluca FC
Apertura,8,Sun Sep 1 2019,Querétaro FC,01-Jan,Club Puebla
Apertura,8,Sun Sep 1 2019,FC Juárez,1-0,CF Monterrey
Apertura,9,Fri Sep 13 2019,Club Puebla,01-Mar,Atlético San Luis
Apertura,9,Fri Sep 13 2019,Club Tijuana,01-Jan,Tigres UANL
Apertura,9,Fri Sep 13 2019,Tiburones Rojos Veracruz,0-0,Cruz Azul
Apertura,9,Sat Sep 14 2019,CF Monterrey,0-2,Club Necaxa
Apertura,9,Sat Sep 14 2019,Club León,03-Jan,FC Juárez
Apertura,9,Sat Sep 14 2019,CD Guadalajara Chivas,1-0,Club Atlas
Apertura,9,Sat Sep 14 2019,Club América,01-Jan,Pumas UNAM
Apertura,9,Sun Sep 15 2019,Deportivo Toluca FC,0-2,Monarcas Morelia
Apertura,9,Sun Sep 15 2019,Santos Laguna,02-Feb,CF Pachuca
Apertura,10,Fri Sep 20 2019,Monarcas Morelia,1-0,CD Guadalajara Chivas
Apertura,10,Fri Sep 20 2019,Club Atlas,0-1,Deportivo Toluca FC
Apertura,10,Sat Sep 21 2019,Atlético San Luis,02-Mar,Santos Laguna
Apertura,10,Sat Sep 21 2019,Club Necaxa,02-Apr,Club León
Apertura,10,Sat Sep 21 2019,Club América,02-Feb,Querétaro FC
Apertura,10,Sat Sep 21 2019,CF Pachuca,04-Jan,Club Tijuana
Apertura,10,Sat Sep 21 2019,CF Monterrey,03-Feb,Club Puebla
Apertura,10,Sun Sep 22 2019,Pumas UNAM,01-Jan,Cruz Azul
Apertura,10,Sun Sep 22 2019,FC Juárez,2-0,Tiburones Rojos Veracruz
Apertura,11,Tue Sep 24 2019,Querétaro FC,01-Feb,Club Necaxa
Apertura,11,Tue Sep 24 2019,Tigres UANL,0-1,Club Puebla
Apertura,11,Tue Sep 24 2019,Club León,01-Jan,Club Atlas
Apertura,11,Tue Sep 24 2019,CD Guadalajara Chivas,02-Apr,CF Pachuca
Apertura,11,Wed Sep 25 2019,Club Tijuana,03-Feb,Monarcas Morelia
Apertura,11,Wed Sep 25 2019,Santos Laguna,5-0,Tiburones Rojos Veracruz
Apertura,11,Wed Sep 25 2019,Cruz Azul,01-Jan,CF Monterrey
Apertura,11,Wed Sep 25 2019,FC Juárez,01-Jan,Club América
Apertura,11,Thu Sep 26 2019,Deportivo Toluca FC,03-Jan,Atlético San Luis
Apertura,12,Fri Sep 27 2019,Club Puebla,02-Jan,Club León
Apertura,12,Fri Sep 27 2019,Club Atlas,2-0,Querétaro FC
Apertura,12,Sat Sep 28 2019,CF Pachuca,2-0,Cruz Azul
Apertura,12,Sat Sep 28 2019,Club Necaxa,0-0,FC Juárez
Apertura,12,Sat Sep 28 2019,CF Monterrey,0-2,Tigres UANL
Apertura,12,Sat Sep 28 2019,Club América,04-Jan,CD Guadalajara Chivas
Apertura,12,Sun Sep 29 2019,Pumas UNAM,2-0,Santos Laguna
Apertura,12,Sun Sep 29 2019,Atlético San Luis,02-Mar,Club Tijuana
Apertura,12,Sun Sep 29 2019,Tiburones Rojos Veracruz,01-Jan,Deportivo Toluca FC
Apertura,13,Fri Oct 4 2019,Monarcas Morelia,02-Mar,Club Necaxa
Apertura,13,Sat Oct 5 2019,Club Tijuana,02-Feb,Club Atlas
Apertura,13,Sat Oct 5 2019,Club León,01-Jan,Tiburones Rojos Veracruz
Apertura,13,Sat Oct 5 2019,Tigres UANL,4-0,Santos Laguna
Apertura,13,Sat Oct 5 2019,CD Guadalajara Chivas,01-Jan,Pumas UNAM
Apertura,13,Sat Oct 5 2019,Cruz Azul,05-Feb,Club América
Apertura,13,Sun Oct 6 2019,Deportivo Toluca FC,01-Jan,Club Puebla
Apertura,13,Sun Oct 6 2019,FC Juárez,01-Feb,Atlético San Luis
Apertura,13,Sun Oct 6 2019,Querétaro FC,02-Jan,CF Monterrey
Apertura,14,Fri Oct 18 2019,Club Puebla,0-1,Club Atlas
Apertura,14,Fri Oct 18 2019,Tiburones Rojos Veracruz,01-Mar,Tigres UANL
Apertura,14,Fri Oct 18 2019,Santos Laguna,04-Jan,Club Tijuana
Apertura,14,Sat Oct 19 2019,Cruz Azul,02-Mar,Monarcas Morelia
Apertura,14,Sat Oct 19 2019,CF Pachuca,0-1,FC Juárez
Apertura,14,Sat Oct 19 2019,Club Necaxa,02-Feb,Club América
Apertura,14,Sun Oct 20 2019,CF Monterrey,01-Jan,CD Guadalajara Chivas
Apertura,14,Sun Oct 20 2019,Atlético San Luis,0-2,Querétaro FC
Apertura,14,Sun Oct 20 2019,Pumas UNAM,01-Feb,Club León
Apertura,15,Fri Oct 25 2019,Monarcas Morelia,02-Feb,Santos Laguna
Apertura,15,Fri Oct 25 2019,Club Tijuana,2-0,Tiburones Rojos Veracruz
Apertura,15,Fri Oct 25 2019,Club Atlas,0-2,Club Necaxa
Apertura,15,Sat Oct 26 2019,Tigres UANL,01-Jan,Cruz Azul
Apertura,15,Sat Oct 26 2019,Club América,2-0,Club Puebla
Apertura,15,Sat Oct 26 2019,Club León,03-Feb,Atlético San Luis
Apertura,15,Sat Oct 26 2019,Querétaro FC,3-0,Pumas UNAM
Apertura,15,Sun Oct 27 2019,Deportivo Toluca FC,2-0,CF Pachuca
Apertura,15,Sun Oct 27 2019,FC Juárez,01-Feb,CD Guadalajara Chivas
Apertura,16,Tue Oct 29 2019,Santos Laguna,1-0,Querétaro FC
Apertura,16,Tue Oct 29 2019,Tiburones Rojos Veracruz,1-0,Club Puebla
Apertura,16,Tue Oct 29 2019,Atlético San Luis,0-1,Club América
Apertura,16,Tue Oct 29 2019,Pumas UNAM,05-Jan,Club Atlas
Apertura,16,Wed Oct 30 2019,CF Pachuca,02-Mar,CF Monterrey
Apertura,16,Wed Oct 30 2019,CD Guadalajara Chivas,0-1,Club Tijuana
Apertura,16,Wed Oct 30 2019,Tigres UANL,1-0,Deportivo Toluca FC
Apertura,16,Thu Oct 31 2019,Cruz Azul,1-0,Club León
Apertura,16,Thu Oct 31 2019,Monarcas Morelia,06-Jan,FC Juárez
Apertura,17,Fri Nov 1 2019,Club Puebla,01-Jan,Pumas UNAM
Apertura,17,Fri Nov 1 2019,Club Atlas,01-Feb,Atlético San Luis
Apertura,17,Sat Nov 2 2019,Querétaro FC,0-0,Tigres UANL
Apertura,17,Sat Nov 2 2019,Club América,01-Feb,Santos Laguna
Apertura,17,Sat Nov 2 2019,Club Necaxa,01-Feb,CF Pachuca
Apertura,17,Sat Nov 2 2019,CF Monterrey,01-Jan,Tiburones Rojos Veracruz
Apertura,17,Sun Nov 3 2019,Deportivo Toluca FC,01-Mar,CD Guadalajara Chivas
Apertura,17,Sun Nov 3 2019,Club León,01-Jan,Monarcas Morelia
Apertura,17,Sun Nov 3 2019,FC Juárez,3-0,Club Tijuana
Apertura,18,Fri Nov 8 2019,Monarcas Morelia,03-Feb,Club Puebla
Apertura,18,Fri Nov 8 2019,Tiburones Rojos Veracruz,0-5,Club América
Apertura,18,Fri Nov 8 2019,Club Tijuana,0-4,CF Monterrey
Apertura,18,Sat Nov 9 2019,Atlético San Luis,0-2,Club Necaxa
Apertura,18,Sat Nov 9 2019,Club León,4-0,Deportivo Toluca FC
Apertura,18,Sat Nov 9 2019,CD Guadalajara Chivas,03-Feb,Querétaro FC
Apertura,18,Sat Nov 9 2019,Tigres UANL,0-0,CF Pachuca
Apertura,18,Sun Nov 10 2019,Pumas UNAM,01-Jan,FC Juárez
Apertura,18,Sun Nov 10 2019,Santos Laguna,03-Jan,Cruz Azul
Apertura,19,Fri Nov 22 2019,Club Puebla,3-0,Club Necaxa
Apertura,19,Fri Nov 22 2019,Club Tijuana,01-Feb,Club León
Apertura,19,Sat Nov 23 2019,Cruz Azul,03-Jan,Atlético San Luis
Apertura,19,Sat Nov 23 2019,Querétaro FC,03-Jan,Monarcas Morelia
Apertura,19,Sat Nov 23 2019,CD Guadalajara Chivas,03-Jan,Tiburones Rojos Veracruz
Apertura,19,Sat Nov 23 2019,CF Pachuca,2-0,Pumas UNAM
Apertura,19,Sat Nov 23 2019,CF Monterrey,2-0,Club Atlas
Apertura,19,Sun Nov 24 2019,FC Juárez,01-Feb,Tigres UANL
Apertura,19,Sun Nov 24 2019,Deportivo Toluca FC,02-Feb,Santos Laguna
Apertura - Liguilla,Cuartos de Final,Wed Nov 27 2019,Monarcas Morelia,03-Mar,Club León
Apertura - Liguilla,Cuartos de Final,Wed Nov 27 2019,Club Necaxa,3-0,Querétaro FC
Apertura - Liguilla,Cuartos de Final,Thu Nov 28 2019,Club América,01-Feb,Tigres UANL
Apertura - Liguilla,Cuartos de Final,Thu Nov 28 2019,CF Monterrey,05-Feb,Santos Laguna
Apertura - Liguilla,Cuartos de Final,Sat Nov 30 2019,Querétaro FC,02-Mar,Club Necaxa
Apertura - Liguilla,Cuartos de Final,Sat Nov 30 2019,Club León,01-Feb,Monarcas Morelia
Apertura - Liguilla,Cuartos de Final,Sun Dec 1 2019,Santos Laguna,01-Jan,CF Monterrey
Apertura - Liguilla,Cuartos de Final,Sun Dec 1 2019,Tigres UANL,02-Apr,Club América
Apertura - Liguilla,Semifinales,Wed Dec 4 2019,CF Monterrey,02-Jan,Club Necaxa
Apertura - Liguilla,Semifinales,Sat Dec 7 2019,Club Necaxa,0-1,CF Monterrey
Apertura - Liguilla,Semifinales,Sun Dec 8 2019,Monarcas Morelia,0-2,Club América
Apertura - Liguilla,Semifinales,Sun Dec 8 2019,Club América,2-0,Monarcas Morelia
Apertura - Liguilla,Final,Thu Dec 26 2019,CF Monterrey,02-Jan,Club América
Apertura - Liguilla,Final,Sun Dec 29 2019,Club América,02-Jan,CF Monterrey
Clausura,1,Fri Jan 10 2020,Monarcas Morelia,0-1,Deportivo Toluca FC
Clausura,1,Fri Jan 10 2020,Club Tijuana,02-Jan,Santos Laguna
Clausura,1,Sat Jan 11 2020,Cruz Azul,01-Feb,Club Atlas
Clausura,1,Sat Jan 11 2020,CD Guadalajara Chivas,2-0,FC Juárez
Clausura,1,Sat Jan 11 2020,Club León,03-Jan,Querétaro FC
Clausura,1,Sat Jan 11 2020,Tigres UANL,0-0,Atlético San Luis
Clausura,1,Sun Jan 12 2020,Pumas UNAM,02-Jan,CF Pachuca
Clausura,2,Thu Jan 16 2020,FC Juárez,04-Apr,Pumas UNAM
Clausura,2,Fri Jan 17 2020,Club Atlas,0-1,Club Puebla
Clausura,2,Fri Jan 17 2020,Atlético San Luis,02-Jan,Cruz Azul
Clausura,2,Sat Jan 18 2020,CF Pachuca,0-0,CD Guadalajara Chivas
Clausura,2,Sat Jan 18 2020,CF Monterrey,02-Feb,Monarcas Morelia
Clausura,2,Sat Jan 18 2020,Club América,1-0,Tigres UANL
Clausura,2,Sun Jan 19 2020,Santos Laguna,03-Feb,Club León
Clausura,2,Sun Jan 19 2020,Querétaro FC,3-0,Club Tijuana
Clausura,2,Sun Jan 19 2020,Deportivo Toluca FC,02-Mar,Club Necaxa
Clausura,3,Fri Jan 24 2020,Club Puebla,0-1,Querétaro FC
Clausura,3,Fri Jan 24 2020,Club Tijuana,0-0,Club América
